knee_angle,shoulder_angle,risk_score,risk_level,feedback
149.96,170.78,12,LOW,Movement currently looks acceptable. pose looks within a safer range.
150.22,179.91,10,LOW,Movement currently looks acceptable. pose looks within a safer range.
150.11,170.1,9,LOW,Movement currently looks acceptable. pose looks within a safer range.
148.6,179.34,7,LOW,Movement currently looks acceptable. pose looks within a safer range.
148.34,179.69,5,LOW,Movement currently looks acceptable. pose looks within a safer range.
148.51,178.79,4,LOW,Movement currently looks acceptable. pose looks within a safer range.
148.37,175.21,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
150.26,162.95,1,LOW,Movement currently looks acceptable. pose looks within a safer range.
148.97,169.52,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
148.83,171.18,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
147.78,161.31,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
148.7,150.12,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
150.65,134.53,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
158.16,128.56,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
164.56,127.98,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
165.76,116.82,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
165.55,109.15,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
165.23,105.04,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
163.71,90.93,15,LOW,Movement currently looks acceptable. upper-limb position is moderately flexed.
163.23,85.5,15,LOW,Movement currently looks acceptable. upper-limb position is moderately flexed.
165.86,66.07,15,LOW,Movement currently looks acceptable. upper-limb position is moderately flexed.
169.35,50.13,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
168.5,58.23,25,LOW,Movement currently looks acceptable. upper-limb position is highly flexed.
174.15,178.85,6,LOW,Movement currently looks acceptable. pose looks within a safer range.
174.68,166.5,6,LOW,Movement currently looks acceptable. pose looks within a safer range.
174.99,158.56,6,LOW,Movement currently looks acceptable. pose looks within a safer range.
174.93,145.06,6,LOW,Movement currently looks acceptable. pose looks within a safer range.
176.58,137.55,6,LOW,Movement currently looks acceptable. pose looks within a safer range.
176.77,137.91,6,LOW,Movement currently looks acceptable. pose looks within a safer range.
179.45,142.76,6,LOW,Movement currently looks acceptable. pose looks within a safer range.
175.78,147.32,6,LOW,Movement currently looks acceptable. pose looks within a safer range.
176.11,154.53,6,LOW,Movement currently looks acceptable. pose looks within a safer range.
174.55,161.25,6,LOW,Movement currently looks acceptable. pose looks within a safer range.
173.73,158.39,5,LOW,Movement currently looks acceptable. pose looks within a safer range.
177.96,157.1,4,LOW,Movement currently looks acceptable. pose looks within a safer range.
167.85,156.39,3,LOW,Movement currently looks acceptable. pose looks within a safer range.
160.98,156.8,2,LOW,Movement currently looks acceptable. pose looks within a safer range.
154.91,157.21,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
172.94,162.94,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
171.81,162.91,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
178.07,164.84,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
162.07,168.09,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
173.73,166.36,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
170.59,170.95,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
162.7,172.49,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
163.01,175.19,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
163.32,167.31,0,LOW,Movement currently looks acceptable. pose looks within a safer range.
